,gnd,record_number
706,gnd/120777193,104383
707,gnd/120777193,104384
708,gnd/120777193,104385
709,gnd/120777193,104386
710,gnd/120777193,104387
711,gnd/120777193,104388
712,gnd/120777193,104389
713,gnd/120777193,104390
714,gnd/120777193,104391
715,gnd/120777193,104392
716,gnd/120777193,104393
717,gnd/120777193,104394
718,gnd/120777193,104395
719,gnd/120777193,104396
720,gnd/120777193,104397
721,gnd/120777193,104398
722,gnd/120777193,104399
723,gnd/120777193,104400
724,gnd/120777193,104401
725,gnd/120777193,104402
726,gnd/120777193,104403
727,gnd/120777193,104404
728,gnd/120777193,104405
729,gnd/120777193,104409
730,gnd/120777193,105197
731,gnd/120777193,105200
732,gnd/120777193,105204
733,gnd/120777193,105205
734,gnd/120777193,106431
735,gnd/120777193,106461
736,gnd/120777193,106622
737,gnd/120777193,106624
738,gnd/120777193,106625
739,gnd/120777193,106626
740,gnd/120777193,106627
741,gnd/120777193,106628
742,gnd/120777193,107052
743,gnd/120777193,107395
744,gnd/120777193,107397
745,gnd/120777193,107398
746,gnd/120777193,107399
747,gnd/120777193,107400
748,gnd/120777193,107401
749,gnd/120777193,107402
750,gnd/120777193,107551
751,gnd/120777193,107728
752,gnd/120777193,108070
753,gnd/120777193,108178
754,gnd/120777193,108419
755,gnd/120777193,108545
756,gnd/120777193,108688
757,gnd/120777193,108707
758,gnd/120777193,108721
759,gnd/120777193,108881
760,gnd/120777193,108883
761,gnd/120777193,108886
762,gnd/120777193,108966
763,gnd/120777193,108968
764,gnd/120777193,109214
765,gnd/120777193,109306
766,gnd/120777193,109574
767,gnd/120777193,109575
768,gnd/120777193,109678
769,gnd/120777193,110311
770,gnd/120777193,111010
771,gnd/120777193,111011
772,gnd/120777193,111012
773,gnd/120777193,111013
774,gnd/120777193,111014
775,gnd/120777193,111015
776,gnd/120777193,111016
777,gnd/120777193,111017
778,gnd/120777193,111018
779,gnd/120777193,111019
780,gnd/120777193,111020
781,gnd/120777193,111021
782,gnd/120777193,111022
783,gnd/120777193,111023
784,gnd/120777193,111070
785,gnd/120777193,111125
786,gnd/120777193,111126
787,gnd/120777193,111127
788,gnd/120777193,111622
789,gnd/120777193,115054
790,gnd/120777193,115055
791,gnd/120777193,115056
792,gnd/120777193,115057
793,gnd/120777193,115323
794,gnd/120777193,115324
795,gnd/120777193,115326
796,gnd/120777193,115328
797,gnd/120777193,115389
798,gnd/120777193,116015
799,gnd/120777193,116016
800,gnd/120777193,116017
